phases,av. probability
Co Zr Pd,0.18522654373333342
Ti Ni Yb,0.18524903239146684
Cu Pd Au,0.18527098675926662
B Ti Mn,0.1852850092351667
B Ni Np,0.18528510561763334
B Fe Lu,0.18529220988320003
B V Cu,0.18529609679317333
V Ni Er,0.18530128028466666
B Co Yb,0.18531431165373338
Mn Ni Gd,0.1853295508157001
Mn Cu Pt,0.1853505022239001
Al Co Yb,0.18537812447933352
Al Co Er,0.18539319418010008
B Cr Pd,0.1853948781208668
Ni In Ir,0.18539891838466674
Cu Rh Au,0.1854057157268667
Al Fe Ag,0.18541501245066663
B Fe Tb,0.18541560598669993
Co Ni Sn,0.1854178568626667
Ni Yb Au,0.18544011829890011
Mn Ni Os,0.18546711485086667
Ni Ag Pt,0.18546739868700018
Al Mn Zr,0.18546850605913345
Al Cu Ir,0.18547303481500002
C Ni Ir,0.1854909394135667
Mn Ni Cd,0.18549440274700002
Al V Cu,0.18549561976826673
Ni Ag Ir,0.1855077529013001
Si Ni Au,0.18552488563216668
Al Ni Hg,0.1855494237303333
Al Ni Np,0.1855539963774333
B Ni Xe,0.18555602073823338
Al Fe Tm,0.18555614850800006
Fe Zr Pd,0.18556343362610003
Al Fe Dy,0.18558599219280006
Cr Ni Ir,0.18559920420906673
Ni Ag Au,0.18560336590339988
B V Mn,0.18560810081706672
V Mn Fe,0.18560855656389996
V Cu Pd,0.18561652973086662
Co Ni Cd,0.18562964918033342
Al Mn Mo,0.1856320986658334
Ni Cu Ge,0.18563375626355008
V Mn Rh,0.18563644170826674
B Ni Pa,0.18564761075890002
Ni Pd U,0.18565158321400002
Ni Pd Pr,0.1856698684764668
Al Ni Xe,0.18567391436966676
B Al Ti,0.18570037677972337
Ti Fe Cu,0.18570760762429997
B Fe Hf,0.18573531449176672
Cr Ni Zr,0.18573692793420005
Al Fe Hf,0.18573706111020005
Fe Cu Ir,0.18575597440546668
Ni Cu Gd,0.1857584966129834
B Al Ir,0.1857656493435534
B Fe Sm,0.18577212758843328
B C Fe,0.18577731591280017
C Ni Zr,0.18577882295433334
Fe Ni Tc,0.18579076838981345
B Zn Pd,0.18579120017149997
Cu Rh Pt,0.1857994756465333
Co Zn Pd,0.18579977099779996
B Co Ag,0.1858228863776668
Ti Co Cu,0.18583209805033335
V Ni W,0.18583380505466682
Al Ni Pm,0.18583628553999995
Ni Pd Tl,0.18583661749079997
B Ni Th,0.18584137167863335
B Cr Rh,0.18584326491366676
V Ni Hf,0.18585209865933325
Ti Ni Ho,0.1858525077200001
B Zn Rh,0.18586990575476667
Al Zr Rh,0.1858701863229
B Ni Pm,0.18590572733630004
Cu Zr Rh,0.1859089563463334
Ni Cu Re,0.1859199753305667
Fe Cu Au,0.18592377200173343
B Ti Cu,0.18593086831603325
B Mn Mo,0.18593775967536663
Al Co Zn,0.18594325902450015
Mn Rh Pt,0.18595169411500004
V Fe Pt,0.18596101073666668
Ni Zr Mo,0.18596236098800004
Al Ni Pa,0.18596735219800006
Fe Ni As,0.18596878790976673
Ni Ho Au,0.18597656261166673
B Mn Zr,0.18597751484753341
Fe Mo Pd,0.18599007030940007
Ti Ni Dy,0.18600099128133335
Fe Ni Eu,0.18601054999566677
Ni Ho Pt,0.18601268208966662
Ni Hf Pt,0.1860332481656667
Al Fe Lu,0.1860340287539801
Ni Cu Cd,0.1860347139172
Fe Co Mo,0.18604692523784336
Si Ni Pt,0.18605263359556673
B Ni Kr,0.18606023290660018
Rh Pd Au,0.18606116327573335
V Mn Cu,0.18606665995289992
Cr Co Pd,0.18606768977750002
Ti Rh Pd,0.1860940024366667
Al Cr Pd,0.18610115866456675
Ni Cu Os,0.18610508506286666
V Mn Co,0.18611302625530002
B Mo Rh,0.18612110822099995
Fe Ga Rh,0.18613507240633342
Mn Cu Au,0.1861447197430002
Al Ti Cu,0.186146630319
B Co Ho,0.1861468248831335
Ni Rh U,0.18614979235513343
B Fe W,0.18614987921549997
Ti Ni Ta,0.18615882934066671
B Pd Ag,0.18616434691919997
Ni Cu Sn,0.18617420174100008
Al Co Ru,0.18617438996066665
B Rh Ag,0.18618592482399995
Ni Ru Ir,0.18618721978633335
V Mn Pd,0.18619313578036661
Ni Dy Pt,0.18619586646966668
B Fe Y,0.18620492070430003
Ni Rh Pr,0.18621021742799995
B C Co,0.18621958264296679
Co Ga Pd,0.186228481766
Al Fe Sm,0.18622908170013336
Mn Rh Au,0.1862320007013333
Ni Hf Au,0.18624397458373343
Mn Fe Au,0.18624485663700002
Ti Cu Rh,0.18624897508583338
Al Fe Tb,0.18625125989237334
B Co Dy,0.18625547531753342
Fe Mo Rh,0.1862608854169667
Mn Ni Pr,0.18631251498600007
Co Ni Pr,0.18631541266600002
Ni Zr Ru,0.1863184865383334
V Ni Dy,0.18632236685766665
Ni Zr Ag,0.18632823655939995
Ti Cu Pd,0.18634052755973343
Mn Cu Ir,0.1863412188546834
Ni Rh Tl,0.1863445188652667
Mn Fe Ir,0.18634526701679344
Ni Rh Hg,0.186374189408
B Co Tm,0.18637683197623342
Fe Ni Pu,0.1863973731847334
Ni W Au,0.18640134132119995
Cr Ni Zn,0.18640339581910004
Ni Tb Pt,0.18640713520300017
Al Co Ag,0.18641081523033332
Ni Sm Pt,0.18641628974699995
Ni Zn Mo,0.18641806975033343
V Ni Ho,0.18642082152210002
B Fe Nd,0.18642737230139997
Al Ni Kr,0.18643233447666668
Co Mo Pd,0.18643524271646675
Al Fe Y,0.18643727089154338
Cr Fe Rh,0.18646114253311352
Ni W Pt,0.18649345170933346
Co Rh Ir,0.18651795628113335
Si V Ni,0.1865187927992001
B C Pd,0.1865188603770333
Ti Ni Ge,0.1865205855433334
B Ni Ac,0.18652999394690015
Cu Pd Pt,0.18653698906933336
Ni Dy Au,0.18654276091800018
V Fe Au,0.18654360694466665
Ni Er Ir,0.18655251606586673
Ni Ga Mo,0.18655548221933346
Ni Y Pt,0.18655689996400007
C Al Fe,0.18656648084433344
Cu Pd Ir,0.18659258915906676
Ni Pd Hg,0.1865972969016667
Fe Zn Rh,0.18659953923109998
B Fe Ga,0.18660636216150012
B Fe In,0.1866081268745334
B Co Tb,0.18661753474096676
Al Mo Pd,0.18663040108683332
Cr Fe Pd,0.18663185000836666
Ni Zr In,0.1866329217096667
Mn Co Pt,0.1866347869787667
Ti Ni Y,0.18664238630833335
V Ni Ge,0.1866432175353333
Si Ti Ni,0.1866440645714666
Ti Ni Nb,0.18664761007399996
Al Co Ho,0.18666745331433346
Ni Ge Au,0.18667311507730006
Fe Ni Np,0.18667998034745337
V Co Au,0.18669051089956668
Ni Tm Pt,0.18669716049966667
V Ni Tm,0.18669781560583337
Al Co Hf,0.18669926197599998
B Fe Nb,0.18673082945743333
B Co Hf,0.18674412606040003
Cr Fe Co,0.18675030799950001
V Ni Ta,0.18675593645766667
Al Mn Ru,0.1867662935186667
Al Cr Rh,0.18677447349583334
C Ni Zn,0.18678129286700007
Ni Zn Ga,0.18678264329800004
Mn Ni Tl,0.18678491138146672
B Cu Zr,0.18678747375896668
Ni Yb Ir,0.18678889458313322
Al Ni Ac,0.18679920181120005
Ti Mn Fe,0.18680191733583346
Co Ni Hg,0.18680490059166668
Ni Ta Pt,0.18680657925666683
Ni Ge Pt,0.18681656713723344
Co Ni U,0.18681871118430005
Al Fe W,0.18681986531633332
Mn Pd Au,0.18682252977933345
Ni Pd Eu,0.18682630213546672
Fe Ru Rh,0.18682929853753333
B Al V,0.18683111889432907
Fe Rh Ag,0.18683753300779993
Ti Ni W,0.1868398333491668
Sc Ni Rh,0.18684026733923334
Al Fe Ta,0.18684758738833318
Sc Ni Pd,0.1868488335430001
Co Ga Rh,0.1868519765903333
Ni Ta Au,0.1868546063603334
Co Ni Tl,0.1868573650500866
B Co Lu,0.18686206594406674
Ni Tb Au,0.18686338372466674
Al Zn Pd,0.18686676820476678
Co Cu Zr,0.18687059705813347
B Co W,0.1868837686434667
Ni Ga Ru,0.18689112451166665
Si Ni Ir,0.18690114076033343
B Rh Er,0.18690586970280013
Ni Rh Eu,0.18691462775860004
V Ni Sm,0.1869168939375
Mn Co Au,0.1869180825508
V Ni Y,0.18692087517633332
B Ru Pd,0.18692129578043337
Ni Cu Pr,0.18692193280000002
Fe Co Ru,0.18692410226276007
C Ni Mo,0.18692573938133342
B Pd Yb,0.1869398566515667
Ni Y Au,0.18694604470449996
Co Pd Yb,0.18694803525566672
