,phases,rankings
25,Ge O Ru Si      ,11.433206479621358
160,Mg O Ru Sr      ,9.014075004286987
239,Ba Ca Ni O      ,7.015396096619218
120,Co Ga In O      ,7.916481534747849
418,Cs Ge Ni O      ,8.073667366636984
405,Co Ga O Rb      ,7.5612537383719465
417,Ca Fe K O       ,6.523309978454903
47,Cr Ge O Si      ,9.980031719820524
267,Bi Li O Ru      ,7.523951958123652
387,Mg Mo O Rb      ,8.798945416807536
170,Bi Mg Mn O      ,7.037055898759578
55,In O Ru Si      ,10.142043576909096
432,Ba Ni O Rb      ,7.710493601136033
156,In Mn O Sr      ,7.6850369140004835
334,K Li Ni O       ,8.252366738396505
487,Ba Co O Rb      ,7.032683054867511
423,Bi Mn O Rb      ,6.98874268164653
79,Ca Mg Mn O      ,7.260956602872832
339,Co Ga K O       ,7.263947080675167
97,Al Ca O Ru      ,8.010797248510938
460,Cr Cs Mg O      ,6.554860651002733
451,Ca Cs Ni O      ,6.3153896996595735
150,Ca Li Ni O      ,7.833400675012854
77,Ca Ge O Ru      ,7.964824824395935
288,K O Si V        ,11.0285952556832
206,Bi Mg Mo O      ,8.421143523788844
22,Ga Mg Mn O      ,7.545434010443043
319,Ba Cr Na O      ,6.4213731454712
78,Ga In Mo O      ,8.698853482984791
134,Bi Ni O Si      ,9.412263932498004
183,Bi Ga O Ru      ,6.55058566871586
365,In O Rb V       ,8.190765478755472
10,Ge Mg O V       ,8.653382016804297
33,Ga In Mn O      ,7.366399673353907
1,Ge Ni O Si      ,10.907299225353698
182,Ca Co In O      ,7.203124937893296
521,Ba Cr Cs O      ,5.835907873984879
115,Ca Ga Mo O      ,8.579589643612408
333,Ca K O Ru       ,6.596528461963473
464,Cs Ga Mo O      ,8.637861560720012
430,Mo O Rb Sr      ,15.0296241758857
510,Co Cs Na O      ,6.802331526462631
101,Ga Ni O Sr      ,8.263656445523603
269,Ba Na Ni O      ,6.898825665515078
508,Bi Cr Cs O      ,5.2711233882183866
260,Ca Co Li O      ,8.143543961718418
189,Ba Ga Ni O      ,7.1227964693373735
67,Cr Ga In O      ,7.236031260803969
371,Bi K Mn O       ,6.871350589094158
223,Ba Mg Mn O      ,7.469486907551469
178,Li Mo O Si      ,11.433564933974939
196,Bi In O Ru      ,6.320428721900036
394,Co K Li O       ,8.63166608224141
398,Li Ni O Rb      ,8.927565994482753
413,Bi Co K O       ,6.227192072291517
317,Cr Ga K O       ,6.515703776889943
538,Cr Cs O Rb      ,6.2516948103385435
270,K Mg Ni O       ,7.355899211097254
38,Ga Mg O Ru      ,7.073257253250763
15,Ge Mn O Si      ,10.706683334643152
