phases,average probability Tc>10K
Al Ca Cl F Fe H O Si,0.8502984387666667
Al Fe H Mg O Si,0.8502569682333333
Al Ca F Fe H O Si,0.8502081371666667
Al Cr Fe Mg Ni O Ti Zn,0.8501938888999999
C Cu Fe N Na,0.8501352293666667
As Ba Fe O Sc,0.8501204700999998
Al Cu Fe H O P,0.8501130792333328
Al Cr Fe Mg Ni O Si Ti,0.8500788058333325
F Fe K Mg O Si,0.8500764322333327
Ca Fe H O Sc Si Sn,0.8500568014666662
Al Cr Fe Mg Mn Ni O,0.8500488658000003
Al C Cl Cr Fe H Mg O,0.8500257735666669
Fe H K Mn Na O Si Ti,0.8500212573333331
Ba Cu Fe O Tm,0.8500138569000001
Ca Cu Fe O Sb,0.8499260958333333
Cu Fe Na O V,0.8498934669666673
Ba Ca Cu Hg O Sr Tl,0.8498891043666661
C Fe H N O S,0.8498231362333335
Al Ca Fe Ga O,0.8497260951666659
Cs Fe H N O S,0.8496431091999997
Al Fe H Mg O P,0.8496385359333329
Ba Ca Cu Hg O Tl Y,0.8496247193000002
Br C Cu H K N O,0.849437134466667
C Fe Mn N Na,0.8494237811666665
Ba Cl Fe H Mn O Si Ti,0.8494024505000007
Al Fe H N O S,0.8493893730666664
As C Cu H I N O,0.8493538751999997
Al Cu Fe H O Pb S,0.8493379926666669
Ca Fe Mn Na O Si Ti,0.849336913633333
As Br C Cu H N O,0.8493071976333334
Ba Cu Eu Fe O,0.8491971880999998
C Fe Ge H N Se,0.8491804304999999
C Fe N O Tl,0.8491679199333333
Al Fe Mg Mn O,0.8491589514333338
C Cu Fe H O P,0.8491183081333332
Fe K Mn Na O Si Zn,0.8490212536333335
Al Fe H K Li O Si,0.8489930851333336
C Cs Fe N Rb,0.8489589971666667
As Ba Fe H O,0.8489176952666663
C Cu H N O Re Te,0.8489142591333336
Al B Fe Mg Mn O,0.8489010976000003
Co Fe La Mg O Sr,0.8488568912666666
Ag As Fe H N S,0.8488142615666667
C Cd Fe N O,0.8487290637333335
