phases
Kr Mg Nb
Cr Pt Re
Ba Bi Re
Be Kr O
Al Yb Zr
I Tc Zr
Ac Cl Pb
Cs Ho Sr
Hg Mo Si
Ag Hf I
Hg Sc Sn
Cd Mo Tm
Bi Cu Pm
Al Ho Pa
Bi Cl Na
Br Os Tc
Ac F Na
Co Sc Th
Br Tc Y
Hg N Rh
Cs Nd Th
Fe Ge Se
Mo Si Ta
Br Nb Pu
C La Pt
Dy O Xe
Eu Fe Hg
Ga Pt Zr
Al Mo Pb
Bi Nb Zr
Cl Ga Li
Ir Li N
Cr Fe Nb
Cu Np Tm
Er Ga Rh
Al Os Te
Be Ru Tc
As Be Na
Na Sn U
Be O Re
I Kr Pt
He U Yb
Ge Os Pt
Cd Sr Zn
Ho Rb Tm
Ca Ru Sr
Co Sn Y
Sm Ti Zn
As Be Pb
Mg Pr Tm
Ce I Pm
Al Lu Sm
Rh Tl Xe
Kr Li Rh
Kr Si Xe
N Sm Tl
Pa Rb Zr
Kr Tl Y
Gd Sc Yb
Br La Li
C Co Mo
Hf Mn Si
In Pr Re
Cu In Xe
Dy Nd Tb
He Lu Tl
C Er Te
F P Ru
Cd La Pd
Al Be Fe
Co Eu Lu
C Np O
Be Ho Tc
Cs Na Ti
Co Tb Tm
Cd Mg Sc
Be O Xe
F S Yb
Mo Ni O
Au In Sr
Cl Co P
Li Sn Yb
Ac Pr W
Ag H S
Co Pu Sc
Ni Pd V
Ga H He
Er H Mg
In Li Xe
Ca K La
C Hg Ta
Au B Sb
Nd Tb Zr
Al Se Sn
As Ho Xe
Pu Sm Tc
N V W
Cu Fe Hf
Fe Pa Tb
Cl In Lu
O Tm Zn
Au Cl Tl
Ce Ta Tl
Cd Dy Eu
Cs Lu Ru
Ho K W
Li Sb Zr
Au Re S
Ga Ni Y
Na Si Sm
Cd Cs S
Ho K U
Al Be Ga
Au Kr Nd
Ca Rb W
F Fe Tc
Ge Np Tc
As Hf S
Na Sn V
Cs Nb Os
Cd Ir La
Ca La P
Ce Ga Ru
Np Ti Xe
Eu Ni Ti
Er Pu Ti
B Cr Er
Hf Pu Se
I Mn Nb
K Mg Ru
Dy Mn Pu
Ce Cu Mn
F Np Sb
Ir Pa V
Au Ge Hf
Ce Cs Dy
Ag Gd He
Ac Al Y
Be Ho Ni
Cl Sn Tm
Cr Pu Sb
Cl Pu Tc
Ge Os Tl
F Tb Zr
Cr La Sc
Cu P Sc
Ir Np Sn
Ga Ge Nd
Be Ce Sm
Kr Os Tl
Fe Ni Sn
Mn Pu Xe
Ca Ce Er
Ac Ag W
C F Zr
Er H Os
Br I S
In N V
Ca Mn Pb
Ac F O
Ir Sr Xe
Hg O Pr
Ca Li U
C Cd La
Hf Na Np
Ru Sn Yb
F Mg Sn
Ge Te Ti
H La Pr
Br Pt Sn
Au Co K
Bi C Lu
Li N Sb
In N Pm
Te W Zn
Ac K Sm
Ag Al B
Eu Hg Se
Ac Pa Tc
Be Bi O
B Hf Sn
Ac S Zr
Mo Np Pa
H Rh Tc
Ge Pa Th
Pt Tm Y
Mo O Re
B Be Cr
F Pb Tl
Hf Os Pa
Pb Ru Tb
Cu Mg Na
Cl Ir Ni
He Tc Tm
Ho Lu N
Au Co Lu
Er Ti Y
Ba In P
Ac Ce W
Ce Os Y
Ho La Mn
Bi Gd Pr
Al Mo Nd
Er I Ni
Na Nd Pu
Cl Dy O
C Sb Sr
Pu Tl Y
S Sn Tb
Pt Te U
Fe Os Pb
Be In P
La Mo Np
Ac Dy Li
Ag Ni Se
Tc Th Xe
Cs Pd Ti
Na Ru Y
Mg Mo Tl
Cl Cs P
P Pd S
Co Na Sn
F Hf Y
Ca Mo Ni
Ge O Se
Be Ga Os
Au Lu Sb
Hf In Nd
Eu Li Te
Ho I In
Ag U W
Ce Cl Nb
Ba O Zn
Hg Pb Pm
Ac Mn Th
Ag C Zn
Al Ir Lu
C Tb Tl
Ho Mn Ti
Cr I Os
Ba Cr Ga
Al Os P
Lu Pu Re
Nb Np Zr
Ag Nb Pu
Cu He Hg
Si Ti Yb
Cl K Rh
Ba Xe Zn
Co N Sb
Al Er Os
Cs Ru U
Ac Cd O
Eu Sr Tm
Ho Sc V
Pd Tl W
Lu O W
As K Pd
Cd La Sn
Au K Li
Ag Gd Si
Al Cl Er
Ag In Yb
Co S Sm
Re U Y
He Hg Pm
Ga Ru Tc
Pb Si Ti
Np Os Yb
Dy Lu Rh
Nd Pr Te
Ba Cs Xe
He Ru Tc
Re S Th
Kr Nb Xe
Er In U
Hg S Te
Ag Rb Sb
Ba Ta Xe
As Ir Li
As Eu Mn
In Ir La
Br Si Sr
Cd Cr Li
Li Mg Sr
Ir Ta Th
Lu Re Tl
Cu Pd W
Br Ho Sn
Ac Co Yb
Cd Sm V
Ga Ho Pa
Ge Nb Pd
Pt Ru Tc
Pb Re Yb
Pt Th Zn
Kr Nd Zn
Al Ge Kr
Hg K S
Ga Hg U
He Nb Tc
Au Hf N
Ir Os P
Bi Cd Re
Co Pa Se
As Ce S
Ge Lu Nd
Cl Nd Sm
As Au W
Al Nd Zr
Hg Pt Xe
Cd Sm Y
Ac Ca Sn
B Lu P
Pa Tl Zr
Na Pt Ta
H P Tb
Ho K Yb
Cr Cs Ta
Bi La N
K Mn Pd
B I Zn
Cd I Sn
B Ba C
Ho Sc Xe
H Pb Yb
La Na Sm
Sr Ta Te
Mn Tb Tl
Cs N Tb
Nd Pb Rb
Hg Sm Xe
Al Au Ir
Hg Pr Ta
Ag Pu Tb
Ce Ho Pa
Hg I Pt
H La Y
Er Th Ti
Cr Ni Zr
Al F Pa
