,phases,max Tc,n compositions
498,Gd Pd,39.0,1
499,H Tm,39.0,18
500,Hg Mn,198.0,1
501,Ho Tb,171.0,4
502,Ir Te,250.0,2
503,Nd Rh,10.0,1
504,Pb Pr,0.4,1
505,Pr Tb,30.0,1
506,Pt U,19.0,2
507,Rh Tb,17.0,2
508,Te U,95.0,3
509,Br Pr,25.0,1
510,Sn Tb,53.0,3
511,Ga Np,51.0,2
512,Ho Sn,16.0,4
513,Pd Tb,36.0,3
514,Co Fe Sm,450.0,1
515,Co Mn P,42.0,2
516,Co Mn S,120.0,2
517,Co Mn Si,390.0,6
518,Co Ni Pr,188.0,4
519,Cr Fe Ti,40.4,1
520,Cr Se V,273.0,1
521,Cu Dy Ga,16.9,1
522,Er Fe Ga,140.0,3
523,Eu Ge Ni,13.4,1
524,Fe Gd Si,95.0,1
525,Fe Ge Hf,110.0,1
526,Fe Ge S,69.0,1
527,Fe Ge Ti,130.0,1
528,Fe La Ni,215.0,3
529,Fe La Si,215.0,2
530,Fe Mn P,190.0,6
531,Fe Mn S,358.0,1
532,Fe Mn Y,64.0,2
533,Fe Mo Y,266.0,3
534,Al Co Pr,570.0,6
535,Al Co U,17.0,3
536,Al Co Y,145.0,2
537,Mn Ni Pr,40.0,1
538,Mn Si Y,100.0,1
539,Mn Sn Te,2.3,2
540,C Ni U,15.0,1
541,Ce Co Fe,135.0,14
542,Ce Co Si,740.0,3
543,Ce Fe Ta,75.0,1
544,Ce Ge Sc,2.8,1
545,Ce Mn Si,175.0,1
546,Ce Ni Si,4.1,3
547,Al Dy Fe,400.0,10
548,Al Er Ni,2.3,2
549,Al Fe Sc,125.0,2
550,Al Fe Y,130.0,8
551,Al Gd Ni,59.0,8
552,Al Mn Y,109.0,2
553,Al Nd Ni,15.6,1
554,Al Ni Pr,6.9,1
555,As Co Fe,145.0,1
556,B C Eu,4.7,1
557,B C Ho,34.0,9
558,B Ce Co,155.0,2
559,B Co Dy,340.0,4
560,B Co Er,163.0,1
561,B Co Tb,804.0,10
562,B Co Y,159.0,17
563,B Er Fe,335.0,28
564,Sm Te,2.2,1
565,B Fe Y,190.3,1
566,B Fe Tb,218.6,1
567,Bi Mn Sb,191.0,1
568,C Ce Ni,10.0,3
569,B Co La,1.8,1
570,Al Dy Ni,15.0,7
571,Ga Mn Tb,85.0,1
572,Gd In Sn,17.0,2
573,Ge Ni Pr,19.0,5
574,Al Fe Pr,345.0,3
575,C Co Er,7.0,1
576,C Tb,18.0,1
577,B Co Ho,240.0,2
578,B Fe Ho,240.0,14
579,Ho N,12.8,1
580,Al Ni Tm,2.8,1
581,Al Pr V,3.0,2
582,Co Ge Pr,28.0,1
583,Co P Tb,65.0,1
584,Fe Ti V,78.0,1
585,As Cr Fe,38.0,1
586,Al Ho Ni,12.0,7
587,Al Ho Si,4.5,1
588,Al Ni Tb,35.0,17
589,Fe Ge Sm,4.5,1
590,C Dy Ni,10.0,5
591,C Er Ni,8.0,2
592,Co Fe Pr,750.0,2
593,Ru Si U,30.0,21
594,Fe Ge Pr,9.0,4
595,Ge Ho Os,12.9,2
596,As Cr Sb,140.0,1
597,As Cr Mn,240.0,9
598,Mn Nd Sn,139.0,6
599,As Fe Mn,114.0,2
600,Mn Nd Si,185.0,9
601,C Ho Ni,2.9,1
602,C Ni Tm,11.0,2
603,C Ni Tb,25.0,1
604,La Mn Ni,40.0,1
605,La Rh Si,7.0,1
606,Fe Ge Sc,120.0,1
607,Er Fe Ge,40.0,9
608,Dy Fe O,228.2,12
609,Fe Ho Si,52.0,3
610,Fe Gd Y,500.0,2
611,O Sr Tm,2.0,1
612,Ho O Sr,40.0,1
613,Ba Cu Nd O,88.0,1
614,Dy K Mo O,1.0,1
615,Ca Co O,840.0,15
616,Ba Cu O Y,170.0,7
617,Ba Mn O R0+,273.0,1
618,Co Cr O,75.0,12
619,Cu O Tb,10.0,3
620,O Sr Tb,11.7,1
621,Cu Er O,12.0,1
622,Er O Sr,20.0,1
623,Ba Co O,260.0,3
624,O Ru Y,80.0,1
625,Fe Nd O,170.0,9
626,Co O Sr V,30.0,5
627,Ba Co O V,0.05,1
628,Fe La O Sr,195.0,3
629,Cr Ni O,31.0,2
630,Ba Cu O Sm,5.0,2
631,Ba Ni O Y,40.0,1
632,Ba Cu Gd O,2.23,2
633,Ba Fe O Ti,78.5,1
634,Ga Mn Se,7.8,1
635,Ba Cu Ho O,10.0,5
636,Ba Cu Dy O,12.0,6
637,Cu Dy O,10.0,3
638,Ba Cu O Pr,100.0,4
639,Ba O Pr,11.5,3
640,Fe O Sr,133.0,10
641,Co Fe O Sr,370.0,9
642,Cr Na O,23.9,2
643,Mn O Pr Sr,180.0,26
644,Fe Li O P,23.0,1
645,La Mn O Sr,289.0,35
646,Cu Nb O,24.2,6
647,Fe Nb O Pb,110.0,4
648,Cr Mn O,50.0,8
649,As Ba Fe,148.0,5
650,Fe Na O Si,7.8,1
651,Cl K U,15.0,1
652,Ca Mn O,320.0,11
653,Bi Mn O,65.0,7
654,Bi Mn O Sr,50.0,2
655,O Rb U,27.0,1
656,Co La O Sr,600.0,10
657,Mn O Y,42.0,9
658,Nb O Sr,50.0,1
659,Dy P,4.5,1
660,Pu Sb,80.0,9
661,Dy Ge Rh,18.0,1
662,Ge Ru Tb,4.3,1
663,Gd Ge Ru,33.0,1
664,Ge Ru Yb,10.2,4
665,Er Ge Ru,4.0,2
666,Dy Ge Ru,15.0,1
667,B Ir Sm,12.6,1
668,Ge Ir Pr,2.08,2
669,B Ir Nd,4.72,1
670,B Ir Tm,5.69,1
671,B Ho Ir,12.9,1
672,B Dy Ir,17.7,1
673,B Ir Tb,6.1,1
674,B Gd Ir,29.8,1
675,B Rh Tm,11.8,3
676,B Er Rh,20.4,3
677,B Ho Rh,24.2,3
678,B Dy Rh,38.0,3
679,B Rh Tb,45.0,3
680,Ce Pt Sb,6.8,3
681,Os Pr Sb,14.5,7
682,Ce Os Sb,1.9,3
683,Al Fe Tm,2.0,3
684,Ge Mn Yb,430.0,7
685,Er Ge Mn,290.0,6
686,Ge Ho Mn,290.0,6
687,Ge Mn Sm,345.0,58
688,Ge La Mn,327.0,6
689,Dy Ge Mn,335.0,16
690,Dy Mn Si,235.0,24
691,Gd Mn Si,465.0,9
692,Mn Si Yb,35.0,2
693,Er Mn Si,11.5,3
694,Mn Pr Si,355.0,9
695,La Mn Si,310.0,15
696,Ge Mn Pr,364.0,29
697,Gd Pt Si,7.5,3
698,Ir Si U,9.0,3
699,Rh Si Yb,0.71,1
700,Pd Si U,136.0,24
701,Pt Si U,40.0,3
702,Au Si U,44.0,10
703,Ge Rh U,15.0,1
704,Ge Pd U,95.0,18
705,Cu Ge U,65.0,6
706,Rh Sb U,40.0,1
707,Co Sn Th,43.0,1
708,Pd Sm Sn,4.2,1
709,Ni Sn Yb,140.0,3
710,Dy Pd Sn,11.0,2
711,Ag In Tb,6.0,1
712,Co Gd P,66.0,4
713,B Fe Tm,325.0,13
714,Eu P Pd,10.0,1
715,Ge Pd Tm,1.2,1
716,Ge Nd Pd,1.7,4
717,Eu Ge Pd,6.5,2
718,Pd Si Tb,28.0,7
719,C Nd Ni,7.0,1
720,C Ni Sm,25.0,4
721,Co Ga Tb,338.0,8
722,Co Dy Ga,466.0,4
723,Cu Dy Ge,7.5,3
724,Ni Si Tb,12.0,7
725,Ho Ni Si,3.1,1
726,Dy Ni Si,22.0,2
727,Ni Pr Si,33.0,5
728,Cu Ho Si,16.5,10
729,Co Si Yb,1.0,7
730,Co Dy Si,20.0,2
731,Co Si Tb,43.5,5
732,Co Ho Si,323.0,5
733,Rh Si Tb,16.0,5
734,Dy Rh Si,15.0,5
735,Mn Sb Yb,136.0,2
736,Eu Mn Sb,128.0,3
737,Cu Fe Se Tl,80.0,2
738,Co P Pr,19.0,3
739,Co P U,200.0,8
740,Mn P S,15.0,1
741,Cr S Zn,75.0,2
742,Cr Cu S Zr,10.0,2
743,Fe N Sm,210.0,2
744,Ce Ga Ni,2.2,1
745,Fe N Nd Sm,305.0,4
746,Ce Rh Si,405.0,15
747,Cr Fe Se,115.0,1
748,Ni Sn Tb,95.0,6
749,C Fe Sm,231.0,1
750,C Fe N Sm,220.0,2
751,B Co Fe Pr,755.0,1
752,B Fe Nd Pr,123.0,3
753,Al Co Nd,311.0,7
754,B U Y,14.0,1
755,B Er Fe Mn,168.0,1
756,Co Sm Ti,80.0,1
757,Au In U,60.0,1
758,Al Co Gd,232.0,3
759,Co Fe Y,500.0,1
760,Nd Rh Si,8.0,1
761,Nd Ru Si,15.0,6
762,Ru Si Tb,5.0,5
763,Al Gd Pd,20.0,3
764,B Ce Rh,0.12,1
765,B Nd Rh,13.5,5
766,B Pr Rh,1.68,2
767,B Fe Nd Tb,77.0,1
768,As Mn P,433.0,14
769,Cu Ge Mn N,380.0,3
770,C Mn Sn Zn,168.0,2
771,C Mn Zn,233.0,4
772,C Ga Mn,170.0,20
773,C Ga Mn Zn,190.0,7
774,Co Si U,350.0,3
775,C Fe Tm,312.0,14
776,Er Fe N,255.0,9
777,C Er Fe,322.0,17
778,Fe N Tm,225.0,5
779,Ir O Sr,275.0,4
780,C F Ho,3.7,2
781,Nd O Ti,30.0,1
782,O Pr Ti,65.0,1
783,O Ti Yb,39.0,1
784,Ce Cu Nd O,67.0,3
785,Cl O Ti,92.5,10
786,Nb O Tb,2.0,1
787,Cr Li Mo O,7.0,1
788,Ce O V,124.0,3
789,Fe H Tb,160.0,3
790,Fe H La Ni,195.0,1
791,Co H Mo Na O,13.0,1
792,Mn N Sn,280.0,1
793,Dy Ni O,8.5,3
794,Ho Mn O,140.0,58
795,Fe O Tb,256.0,4
796,Cr Er O,22.0,3
797,P S U,90.0,9
798,Cd Cr Se Zn,13.7,4
799,Cl Cs Ni,4.48,6
800,Co Nd O Sr,60.0,6
801,Ag Nb O,448.0,1
802,B C Dy,80.0,9
803,Cu Fe O Ti,606.0,4
804,Eu Mn O,65.0,11
805,Ba Cu Er O,7.0,5
806,Cd Cr In Se,50.0,1
807,Ca Fe La O,175.0,1
808,Ba Fe Ni O,158.0,1
809,Fe Mn O Zn,212.0,1
810,Ca Mn Nd O,150.0,7
811,Ca Mn O Y,110.0,2
812,Fe O Sc Y,46.0,1
813,Co Fe O Zn,120.0,2
814,Co Cr O Zn,20.0,2
815,C Dy Fe Si,186.0,1
816,Er Fe Si,116.0,13
817,Mg Nd,25.0,1
818,Cr Ge Mn O,3.1,1
819,Fe Nb Se,500.0,1
820,Co Pr Y,92.0,2
821,B Co Fe Nd,878.0,12
822,B Cu Fe Nd,124.0,2
823,Ba Cu O Y Zn,250.0,1
824,B Fe Mn Nd,70.0,1
825,Ba Cu Fe O Y,190.0,4
826,Fe Ho Tb,310.0,11
827,C Fe Ho,38.0,2
828,Co Mn Sb,320.0,5
829,C Ga Mn Sn,170.0,1
830,Al Co Fe La,145.0,1
831,Co Ho Tb,142.0,1
832,C Fe Mn Nd,120.0,1
833,Co Fe Ho Tb,225.0,1
834,As Mn Sb,324.0,4
835,B Co Fe Y,450.0,2
836,Dy Fe V,262.0,15
837,Co Fe Si Tm,270.0,1
838,Co Er Fe Si,230.0,1
839,C Er Fe N,166.0,4
840,La Mn O Pb,330.0,8
841,C Er Fe Y,134.0,3
842,Cu Si U,103.0,12
843,Ni Si U,124.0,24
844,Cu Ni Si U,122.0,17
845,Er Fe N Y,74.0,1
846,Er Fe Gd N,47.5,1
847,Dy Fe H,250.0,1
848,Al Fe Th,268.0,2
849,B Be Fe Nd,123.0,1
850,Cr Se Te,90.0,3
851,Ag Dy Si,5.0,2
852,Ho Pt Sn,3.0,3
853,Fe Pr Ti,280.0,3
854,B C Ho Ni,8.0,8
855,Cu Ir S,230.0,4
856,Al Pt Yb,2.9,1
857,Fe Ge Mn,145.0,2
858,C Fe Nd Si,90.0,1
859,C Fe N Tm,157.0,2
860,Er Fe H,150.0,3
861,Ce Fe H,181.0,2
862,Ge Pd Tb,20.0,2
863,B Co Tm,125.0,1
864,Co Er Mo,164.0,3
865,Dy Ru Si,19.0,3
866,Co Ho Sn,4.0,1
867,Mn S Si,83.0,1
868,Co Cu Si U,95.0,4
869,Co Cu Ge U,94.0,2
870,Co Ni Si U,108.0,1
871,Ge Mn Nd Sm,200.0,6
872,Ce Ni Pt Sn,4.6,1
873,Rh Si U,15.0,2
874,Ge Ni U,44.0,3
875,B Ce Co Fe Nd Pr V,97.0,1
876,B Ce Co Fe Nd Pr,97.0,1
877,B Ce Co Fe Mo Nd Pr,97.0,1
878,Gd Rh Si,17.0,3
879,Gd Ru Si,40.0,4
